大葱,0.70,0.80,0.90,冀\鲁,斤,2021-07-15
小葱,1.50,1.75,2.00,普通,斤,2021-07-15
蒜苗,2.00,3.50,5.00,苏鲁,斤,2021-07-15
蒜黄,6.00,6.50,7.00,\冀,斤,2021-07-15
青蒜,1.40,1.60,1.80,冀,斤,2021-07-15
平菇,2.00,2.50,3.00,\小叶,斤,2021-07-15
香菇,4.00,4.50,5.00,普通,斤,2021-07-15
白玉菇,3.00,3.50,4.00,普通,斤,2021-07-15
口蘑,9.00,9.50,10.00,普通,斤,2021-07-15
杏鲍菇,2.00,2.50,3.00,普通,斤,2021-07-15
金针菇,1.50,2.00,2.50,普通,斤,2021-07-15
大白菜,0.40,0.45,0.50,\新,斤,2021-07-15
娃娃菜,0.50,0.60,0.70,大\冀新,斤,2021-07-15
小白菜,1.80,1.90,2.00,普通,斤,2021-07-15
芹菜,1.00,1.20,1.40,\冀,斤,2021-07-15
西芹,1.80,2.00,2.20,普通,斤,2021-07-15
菠菜,2.00,2.25,2.50,冀\蒙,斤,2021-07-15
莴笋,0.60,0.80,1.00,普通,斤,2021-07-15
团生菜,1.20,1.50,1.80,毛|净,斤,2021-07-15
圆白菜,0.50,0.65,0.80,\冀,斤,2021-07-15
大葱,0.70,0.80,0.90,冀\鲁,斤,2021-07-15
小葱,1.50,1.75,2.00,普通,斤,2021-07-15
蒜苗,2.00,3.50,5.00,苏鲁,斤,2021-07-15
蒜黄,6.00,6.50,7.00,\冀,斤,2021-07-15
青蒜,1.40,1.60,1.80,冀,斤,2021-07-15
平菇,2.00,2.50,3.00,\小叶,斤,2021-07-15
香菇,4.00,4.50,5.00,普通,斤,2021-07-15
白玉菇,3.00,3.50,4.00,普通,斤,2021-07-15
口蘑,9.00,9.50,10.00,普通,斤,2021-07-15
杏鲍菇,2.00,2.50,3.00,普通,斤,2021-07-15
金针菇,1.50,2.00,2.50,普通,斤,2021-07-15
大白菜,0.40,0.45,0.50,\新,斤,2021-07-15
娃娃菜,0.50,0.60,0.70,大\冀新,斤,2021-07-15
小白菜,1.80,1.90,2.00,普通,斤,2021-07-15
芹菜,1.00,1.20,1.40,\冀,斤,2021-07-15
西芹,1.80,2.00,2.20,普通,斤,2021-07-15
菠菜,2.00,2.25,2.50,冀\蒙,斤,2021-07-15
莴笋,0.60,0.80,1.00,普通,斤,2021-07-15
团生菜,1.20,1.50,1.80,毛|净,斤,2021-07-15
